layer,rank,feature_idx,direction,correct_mean_act,incorrect_mean_act,correct_freq,incorrect_freq,freq_diff,mean_diff,effect_size,p_value
0,0,8502,uncertainty,2.121361520086996,2.706689377330893,0.8312435765673176,0.8965677179962894,0.0653241414289718,0.5853278572438971,0.4340648577686959,1.4134803907693466e-67
0,1,12625,uncertainty,0.03560679740552912,0.168300411254444,0.0328879753340185,0.15584415584415584,0.12295618051013735,0.13269361384891487,0.4294174378015205,1.6964051325751803e-76
0,2,12637,uncertainty,1.974403087894326,2.2737715414592197,0.9566289825282631,0.9707792207792207,0.014150238250957625,0.2993684535648937,0.39724733875576146,1.5320668844705127e-44
0,3,10083,confidence,1.3617336208994317,1.1051551174365524,0.8384378211716341,0.7458256029684601,-0.092612218203174,-0.25657850346287936,-0.3683439531209925,4.805459613624732e-59
0,4,1678,uncertainty,3.3735366113629395,3.4433330742016794,1.0,1.0,0.0,0.06979646283873997,0.3662280517803034,4.537290539005211e-48
0,5,10701,confidence,2.2468077873277026,2.069944887302802,0.9979445015416238,0.9944341372912802,-0.0035103642503436783,-0.17686290002490068,-0.3606062695350493,1.0529097844689e-36
0,6,10944,confidence,4.472729331248833,3.98307719964928,0.9646454265159301,0.9587198515769945,-0.0059255749389356405,-0.489652131599553,-0.31515252125392573,1.046448241615255e-49
0,7,14617,confidence,4.73809979469166,4.498329939337962,1.0,1.0,0.0,-0.239769855353698,-0.30579271137758623,1.314642583564973e-39
0,8,13889,uncertainty,14.8791218023506,14.902372039978934,1.0,1.0,0.0,0.023250237628333892,0.28161115159450056,2.0600036171915116e-29
0,9,12183,uncertainty,1.2823435430046466,1.3153229488512581,0.9958890030832477,0.99860853432282,0.002719531239572359,0.03297940584661152,0.25007003054476323,2.25484884300908e-25
0,10,1805,confidence,8.298331718405619,8.131295174083816,1.0,1.0,0.0,-0.16703654432180315,-0.22553680254956884,1.830339521724439e-12
0,11,3033,confidence,0.16383211041771006,0.0804304450695059,0.12723535457348406,0.06354359925788497,-0.06369175531559909,-0.08340166534820416,-0.21901030363958446,1.2961613753475507e-15
0,12,5317,confidence,1.1383303642272948,1.0462476258375206,0.8933196300102775,0.8501855287569573,-0.04313410125332018,-0.09208273838977421,-0.20906092930123438,2.0040261400435866e-32
0,13,4424,uncertainty,0.1981914049797411,0.31961197180739137,0.1327852004110997,0.19666048237476808,0.06387528196366837,0.12142056682765026,0.20129467842304327,9.860322956276404e-14
0,14,10591,uncertainty,0.10412115945355375,0.1787843199961703,0.09311408016443988,0.1590909090909091,0.06597682892646921,0.07466316054261656,0.20012403114760643,4.901525522891527e-16
0,15,1468,uncertainty,1.3993527449659797,1.5005613934794693,0.8966084275436793,0.9466604823747681,0.050052054831088766,0.10120864851348954,0.19453193908657454,1.487235509300491e-10
0,16,14096,uncertainty,3.760116374847945,3.788893275004371,1.0,1.0,0.0,0.028776900156425977,0.19388742203722173,3.6335231815330525e-13
0,17,5200,uncertainty,34.188174248721836,34.27481206317116,1.0,1.0,0.0,0.08663781444932539,0.19066231275572298,6.52425555382043e-20
0,18,11780,uncertainty,0.8542947241115668,0.9980644667745743,0.5860226104830422,0.6382189239332097,0.05219631345016751,0.14376974266300746,0.1722062623765485,3.585635743387299e-10
0,19,10444,confidence,1.3335124287796412,1.3000561374901398,0.9905447070914697,0.9828385899814471,-0.007706117110022559,-0.03345629128950134,-0.1589126438084199,9.56948816891609e-12
0,20,1026,confidence,0.1989901155509047,0.1362098063962579,0.17841726618705037,0.12059369202226346,-0.05782357416478691,-0.0627803091546468,-0.15661159854777035,5.242558568704996e-09
0,21,445,confidence,0.6854185190867299,0.5778124316393334,0.51551901336074,0.4253246753246753,-0.09019433803606469,-0.10760608744739653,-0.15571780004023594,2.2821309198589146e-08
0,22,14131,confidence,0.14106950073791064,0.09035488338328912,0.10647482014388489,0.06910946196660482,-0.03736535817728007,-0.050714617354621516,-0.133679697406863,6.458147311824052e-07
0,23,10887,uncertainty,1.2994434103323769,1.3430527572507982,0.9681397738951696,0.9587198515769945,-0.009419922318175122,0.04360934691842133,0.13065458878418085,1.4356061968382921e-12
0,24,9755,uncertainty,0.04535007555217684,0.07863841693786168,0.03699897225077081,0.06354359925788497,0.026544627007114158,0.03328834138568484,0.1190720647077049,7.580382454978302e-07
0,25,1107,confidence,2.5528210478230835,2.5255519299869857,1.0,1.0,0.0,-0.027269117836097756,-0.1098611593630312,1.1121523716810223e-08
0,26,10662,uncertainty,0.24591601426652868,0.3035663291120795,0.19506680369989723,0.23376623376623376,0.038699430066336526,0.057650314845550804,0.10760454309687893,3.721224759116306e-05
0,27,9298,uncertainty,0.1419216870036424,0.18180928646080569,0.13257965056526208,0.1679035250463822,0.03532387448112012,0.039887599457163275,0.10339918147638047,4.765631116184988e-05
0,28,15738,uncertainty,0.018444587270377965,0.03633897844183644,0.016032887975334018,0.03293135435992579,0.01689846638459177,0.01789439117145848,0.10314114387265831,6.7305796634496474e-06
0,29,365,confidence,5.611983534782543,5.55375642281074,1.0,1.0,0.0,-0.05822711197180297,-0.08890579888395106,0.015879818510568352
0,30,8482,uncertainty,0.009503022519314522,0.022060696788975393,0.006372045220966085,0.013914656771799629,0.007542611550833544,0.012557674269660871,0.07827290345211363,0.001654423855039478
0,31,7862,confidence,0.06946470333150333,0.049539349295876244,0.06351490236382323,0.04267161410018553,-0.020843288263637703,-0.019925354035627084,-0.07640277184196528,0.0005530916835572747
0,32,7795,uncertainty,4.252776396948412,4.268811973990227,1.0,1.0,0.0,0.016035577041814797,0.07127436979590802,0.0003366274690681874
0,33,15582,confidence,0.7590511068165731,0.6954790942080609,0.3868448098663926,0.3557513914656772,-0.03109341840071539,-0.0635720126085122,-0.06636470877022896,0.0039194225688901525
0,34,9255,uncertainty,0.01751003035048419,0.024208912269967384,0.01274409044193217,0.018089053803339517,0.005344963361407348,0.006698881919483195,0.03902519709529039,0.08420564864244554
0,35,4838,uncertainty,20.12429208745692,20.140084568335084,1.0,1.0,0.0,0.015792480878165094,0.025385381278068,0.6959953157510356
0,36,6317,uncertainty,1.798102295631495,1.8020993247766441,1.0,1.0,0.0,0.003997029145149211,0.022785295563530865,0.8832132649912522
0,37,7837,uncertainty,0.2597786053111595,0.268834085931141,0.20863309352517986,0.21196660482374768,0.0033335112985678206,0.009055480619981515,0.017334203960319736,0.6103178472777089
0,38,6333,uncertainty,0.525509328146265,0.5336589901699427,0.31634121274409044,0.29081632653061223,-0.025524886213478204,0.008149662023677617,0.009597906143333793,0.5106959399156172
0,39,4509,uncertainty,1.4398324746879743,1.4435812913862804,0.9434737923946557,0.9475881261595547,0.004114333764899003,0.003748816698306179,0.009120239803253544,0.923772887864838
0,40,9907,uncertainty,0.04287106120941695,0.044889736927506654,0.03494347379239465,0.036641929499072357,0.001698455706677704,0.0020186757180897033,0.008768157956599323,0.730646033403413
1,0,3962,uncertainty,2.458492095913941,2.5672892360828805,1.0,1.0,0.0,0.1087971401689396,0.49088606731393875,1.3117030824845372e-80
1,1,6746,confidence,0.6790065521326486,0.31366381817713296,0.3780061664953751,0.17625231910946196,-0.20175384738591315,-0.36534273395551564,-0.45842707199927013,3.375210925008635e-61
1,2,13547,uncertainty,1.0323709103700927,1.6075324260237487,0.4289825282631038,0.6377551020408163,0.20877257377771252,0.575161515653656,0.45171030624273484,3.001263586986132e-68
1,3,15798,uncertainty,0.11156492105858422,0.37598990619956674,0.061459403905447074,0.19851576994434136,0.1370563660388943,0.2644249851409825,0.4256508589161972,6.287632758451855e-70
1,4,15769,uncertainty,0.17754056191517908,0.47361323364590446,0.09249743062692703,0.21335807050092764,0.12086063987400061,0.2960726717307254,0.3853461543589778,2.0094234469666603e-49
1,5,4831,uncertainty,3.4981073337860735,3.603519881921708,1.0,1.0,0.0,0.1054125481356345,0.340855014804148,6.7286443281926705e-34
1,6,13419,confidence,3.6434328766300403,3.102638694925963,0.8672147995889004,0.827922077922078,-0.039292721666822406,-0.5407941817040776,-0.32172101724913754,1.1643659157949072e-55
1,7,11522,uncertainty,2.25612379644537,2.337044624926208,0.998355601233299,0.99860853432282,0.00025293308952101246,0.08092082848083759,0.31047654144920184,2.3789090726832917e-40
1,8,4723,confidence,1.8067545732025743,1.5463146690092635,0.8515930113052416,0.7597402597402597,-0.09185275156498185,-0.26043990419331076,-0.29240977843266247,5.8478937701199104e-27
1,9,12339,uncertainty,1.9122063244479532,2.0319239692365083,0.9724563206577596,0.9879406307977736,0.015484310140014057,0.11971764478855507,0.28724004995026325,3.287088426123244e-30
1,10,13889,uncertainty,32.50800892280038,32.6092719270922,1.0,1.0,0.0,0.10126300429182322,0.27462498889825276,1.724397783006455e-24
1,11,16221,confidence,0.8634772762365234,0.5889371076187531,0.4302158273381295,0.2917439703153989,-0.13847185702273063,-0.2745401686177703,-0.2720590832158683,8.160472839235874e-29
1,12,3892,uncertainty,0.07711085824780205,0.16727141165114068,0.04563206577595067,0.09647495361781076,0.05084288784186009,0.09016055340333863,0.20274529744409214,1.643317656514987e-16
1,13,9325,uncertainty,4.767776624026793,4.804422915092426,1.0,1.0,0.0,0.03664629106563222,0.1906719269124676,7.252905962111042e-17
1,14,14488,uncertainty,0.02368496785060965,0.07883008026236285,0.012127440904419322,0.038033395176252316,0.025905954271832995,0.0551451124117532,0.17033918485533212,8.287429618321523e-13
1,15,9532,uncertainty,0.06552366526741898,0.13072802311635415,0.03843782117163412,0.07931354359925788,0.04087572242762376,0.06520435784893516,0.16554949275896433,1.3123159371998668e-12
1,16,7812,confidence,26.187887210983167,26.107923083933475,1.0,1.0,0.0,-0.07996412704969202,-0.1543774815804493,1.2640059958915576e-06
