feature_idx,effect_size,p_value,group1_mean,group2_mean,group1_freq,group2_freq
29763,3.5333283393140578,3.6402472438098004e-273,1.851646401487142,5.695041766263284,0.6656874265569918,1.0
16994,1.7106331952444238,1.5163782109005468e-162,19.554073394255408,22.625071604607513,1.0,1.0
20498,-1.5571791894857936,9.794115067993026e-108,1.480814008679149,0.025265141745298605,0.5787309048178614,0.011049723756906077
13017,-1.3674847149609204,5.016537931256381e-147,4.116637640498079,2.574405982349459,0.9988249118683902,0.7808471454880295
26475,-1.2845187560448248,5.230110841088672e-102,2.2518452309973793,0.6018178491522155,0.7385428907168038,0.2523020257826888
10944,-1.1027718607789374,3.717045902895915e-84,2.100941673428976,0.8706978548517105,0.8102232667450059,0.3701657458563536
22950,0.9816377565630904,2.4955029866838746e-76,2.3226914485669163,3.6934989451483906,0.7485311398354877,0.9502762430939227
15114,0.972718685662159,1.228929414660842e-96,0.17333845302164905,1.0266904945092525,0.07931844888366628,0.4732965009208103
6178,-0.9679612109417439,1.8423105484050277e-64,1.4306676334555926,0.42934613201499644,0.6063454759106933,0.19705340699815838
11286,-0.9579056292390287,3.9658885668518174e-50,0.7030778438308124,0.0,0.31786133960047,0.0
14860,-0.8599339306452406,6.460388259586745e-48,1.2476689318932601,0.2354224990525079,0.4300822561692127,0.10313075506445672
19878,0.707487871357723,1.5519699481232567e-54,0.23712881667633595,0.8856938056524287,0.10693301997649823,0.3996316758747698
10093,0.674394892105934,1.7112894277922078e-41,3.804257135973974,4.245540063903696,0.9988249118683902,1.0
21181,-0.6589558593976895,1.5740848807028504e-25,1.0905706161057487,0.23984943217774563,0.3078730904817861,0.10681399631675875
30040,-0.6502097943884368,1.8973434252097976e-28,0.6654849182004514,0.10933187148408556,0.27320799059929496,0.04788213627992634
27490,-0.6370364918002984,6.183810326833095e-25,0.41342936741619357,0.0,0.17156286721504113,0.0
3964,-0.6197615218986607,7.07493062713323e-27,0.7596874334417135,0.16273255813626733,0.2925969447708578,0.06629834254143646
13622,0.6002641594960358,3.9191621506054596e-54,0.022113091867202596,0.36436285674023144,0.010575793184488837,0.18047882136279927
32330,0.594393104030413,9.136613370434944e-29,3.055081972574375,3.5903215237085333,0.9212690951821386,1.0
49,-0.5771361474840699,2.4432270764186378e-36,3.1160846964032616,2.8256844530228533,0.9947121034077556,0.9815837937384899
32602,0.5469865575476363,1.018167723274342e-39,0.07367963306211837,0.4451330862870752,0.03466509988249119,0.20626151012891344
415,-0.5088352733431443,1.6872138753324386e-06,1.6865013941474583,0.703233881110864,0.31786133960047,0.2983425414364641
7623,-0.4462466626214096,1.0324074844532083e-13,0.238331445795949,0.015128144462683802,0.10928319623971798,0.007366482504604052
30481,-0.43785898553039154,4.558266569178473e-13,0.2170547546707225,0.0041585578883330905,0.09400705052878966,0.001841620626151013
8083,0.41362146963247487,5.05172797797085e-18,0.5338948958068561,0.9758094303296196,0.23619271445358403,0.42173112338858193
7472,-0.40843601188273126,1.9437651133964664e-11,0.17698888366847146,0.0,0.0781433607520564,0.0
27342,0.4066442507148499,1.2904101985161789e-26,0.01584138531242218,0.20384720544130103,0.00763807285546416,0.09576427255985268
9094,-0.3818417639803953,2.0822227215610012e-10,0.17637189476806606,0.007796662508014377,0.0781433607520564,0.003683241252302026
22838,0.37056651709895727,8.530362599992534e-22,0.019085593775492578,0.175481129965949,0.009400705052878966,0.08839779005524862
13487,-0.36681459574733233,0.03907079620561768,1.827725152851692,0.9794217539097064,0.28672150411280845,0.3278084714548803
5679,-0.3543979773952441,1.1862212830133751e-09,0.198422894494654,0.02515348457280224,0.08695652173913043,0.011049723756906077
7393,0.3197447179837423,6.72071850981429e-14,0.11771584656768064,0.3413453253593234,0.04935370152761457,0.14548802946593
3082,-0.3013196382470537,5.218025475654168e-07,0.11593321452549846,0.007109492523235511,0.05229142185663925,0.003683241252302026
9702,-0.2887726121933419,1.9007347208459378e-06,0.09266505412293377,0.0,0.04054054054054054,0.0
20801,-0.28586640524501233,2.1905527511616368e-07,0.3285473933931523,0.1372414238984194,0.14806110458284372,0.06629834254143646
16556,0.2723726825058383,8.742485317056751e-10,2.9317642899994003,3.0425005736271977,0.9970622796709753,0.998158379373849
31242,0.2565395403259163,1.2758756606028532e-28,1.2102937704667922,1.6929084345780683,0.23031727379553465,0.6224677716390423
656,-0.2554149185611063,5.966929275130893e-07,0.8295113571802402,0.5465183760799317,0.3401880141010576,0.22467771639042358
4256,-0.24384600995632075,4.4128603602445466e-05,0.0819990084398227,0.007255492289421967,0.03760282021151586,0.003683241252302026
5692,0.23752910767630575,9.513369752971155e-09,0.02571783698963923,0.1127533025724014,0.012925969447708578,0.055248618784530384
17478,-0.23506817039410177,7.770931616518092e-05,0.12146512559942298,0.02369478877297642,0.04876615746180964,0.011049723756906077
28707,-0.23466764228644948,4.567249569431924e-05,0.13150071684538128,0.029361338466131447,0.05405405405405406,0.01289134438305709
26420,-0.21092544352144166,1.5584475721305621e-10,2.6020669921024426,2.33430454722206,0.8243243243243243,0.8397790055248618
31799,-0.19776159774077026,0.001083857518796873,0.04261264271517618,0.0,0.019388954171562868,0.0
23022,-0.19253049039103393,0.000626506880914753,0.07504663911465333,0.01335496226287898,0.03231492361927144,0.0055248618784530384
5904,-0.18526238890923968,0.002208975764256967,0.036664917031970626,0.0,0.017038777908343124,0.0
2320,-0.1840228163183206,0.0020646144147461287,0.04620556881789175,0.0036314824668083404,0.021151586368977675,0.001841620626151013
28807,0.18120620986558097,1.8813769576673479e-06,0.004687720824352583,0.04509047206155064,0.0023501762632197414,0.022099447513812154
6077,0.1798976207454079,0.0020610728619526513,1.0785205839103313,1.3078504576867456,0.408930669800235,0.5543278084714549
21419,0.17644000567763654,1.5885863653240595e-06,0.002353227866942678,0.039390504909044693,0.0011750881316098707,0.01841620626151013
