layer,original_incorrectness,original_entropy,original_overlap,pure_uncertainty,pure_incorrectness,pure_uncertainty_only,pure_incorrectness_only,both_confounded,interaction
0,26,28,23,28,17,15,4,13,27
1,32,34,29,34,28,8,2,26,33
2,32,36,32,36,17,20,1,16,35
3,22,26,21,28,17,12,1,16,25
4,19,24,19,24,15,10,1,14,24
5,19,20,18,21,12,10,1,11,20
6,21,23,21,23,17,7,1,16,22
7,19,19,18,19,13,9,3,10,20
8,21,25,20,24,15,11,2,13,24
9,16,17,16,18,11,10,3,8,17
10,16,18,15,15,10,7,2,8,17
11,18,18,18,16,11,7,2,9,18
12,22,23,22,26,16,12,2,14,23
13,12,13,12,14,12,6,4,8,13
14,24,23,23,23,21,9,7,14,26
15,27,29,27,32,20,14,2,18,30
16,20,20,18,21,17,10,6,11,22
17,21,21,21,20,19,7,6,13,21
18,19,23,19,21,15,8,2,13,23
19,19,21,19,20,19,5,4,15,20
20,21,23,21,25,15,11,1,14,23
21,17,19,17,22,15,11,4,11,19
22,21,21,20,23,18,9,4,14,22
23,18,19,17,20,16,7,3,13,19
24,17,17,16,16,16,3,3,13,19
25,24,24,24,24,14,11,1,13,24
26,26,26,25,24,16,11,3,13,26
27,23,29,23,30,20,12,2,18,30
28,21,22,21,21,16,10,5,11,22
29,29,32,29,30,24,8,2,22,31
30,32,34,32,32,25,9,2,23,34
31,58,63,58,63,45,22,4,41,63
